period;reporterDesc;flowDesc;partnerDesc;classificationSearchCode;cmdCode;cmdDesc;primaryValue
2019;Russian Federation;Import;Sweden;S4;2;Crude materials, inedible, except fuels;33837946,53
2019;Russian Federation;Import;Switzerland;S4;2;Crude materials, inedible, except fuels;2720702,77
2019;Russian Federation;Import;Syria;S4;2;Crude materials, inedible, except fuels;9660,68
2019;Russian Federation;Import;Tajikistan;S4;2;Crude materials, inedible, except fuels;10963529,03
2019;Russian Federation;Import;Thailand;S4;2;Crude materials, inedible, except fuels;55952309,12
2019;Russian Federation;Import;United Arab Emirates;S4;2;Crude materials, inedible, except fuels;1782425,04
2019;Russian Federation;Import;Tunisia;S4;2;Crude materials, inedible, except fuels;92236,79
2019;Russian Federation;Import;Türkiye;S4;2;Crude materials, inedible, except fuels;212531961,6
2019;Russian Federation;Import;Turkmenistan;S4;2;Crude materials, inedible, except fuels;4114515,18
2019;Russian Federation;Import;Uganda;S4;2;Crude materials, inedible, except fuels;46195,12
2019;Russian Federation;Import;Ukraine;S4;2;Crude materials, inedible, except fuels;891836504,7
2019;Russian Federation;Import;Egypt;S4;2;Crude materials, inedible, except fuels;1684769,9
2019;Russian Federation;Import;United Kingdom;S4;2;Crude materials, inedible, except fuels;21230053,36
2019;Russian Federation;Import;Uruguay;S4;2;Crude materials, inedible, except fuels;3621485,26
2019;Russian Federation;Import;Uzbekistan;S4;2;Crude materials, inedible, except fuels;51758060,86
2019;Russian Federation;Import;Venezuela;S4;2;Crude materials, inedible, except fuels;139175,36
2019;Russian Federation;Import;Zambia;S4;2;Crude materials, inedible, except fuels;79412,66
2019;Russian Federation;Import;Azerbaijan;S4;3;Mineral fuels, lubricants and related materials;101900462,9
2019;Russian Federation;Import;Australia;S4;3;Mineral fuels, lubricants and related materials;21378,74
2019;Russian Federation;Import;Austria;S4;3;Mineral fuels, lubricants and related materials;6386928,76
2019;Russian Federation;Import;Bahrain;S4;3;Mineral fuels, lubricants and related materials;1588558,67
2019;Russian Federation;Import;Armenia;S4;3;Mineral fuels, lubricants and related materials;1627523
2019;Russian Federation;Import;Belgium;S4;3;Mineral fuels, lubricants and related materials;119137364,9
2019;Russian Federation;Import;Brazil;S4;3;Mineral fuels, lubricants and related materials;13460,26
2019;Russian Federation;Import;Bulgaria;S4;3;Mineral fuels, lubricants and related materials;304775,82
2019;Russian Federation;Import;Belarus;S4;3;Mineral fuels, lubricants and related materials;80129282
2019;Russian Federation;Import;Canada;S4;3;Mineral fuels, lubricants and related materials;10447447,73
2019;Russian Federation;Import;China;S4;3;Mineral fuels, lubricants and related materials;178015143,2
2019;Russian Federation;Import;Colombia;S4;3;Mineral fuels, lubricants and related materials;7848138,46
